Date,Open,High,Low,Close,Volume
07/12/2024,"247.71","271.00","233.09","248.23","824,144,601"
03/08/2024,"198.73","548.58","173.70","175.34","549,590,227"
12/06/2024,"352.38","389.49","348.20","389.22","349,923,945"
05/31/2024,"176.40","182.67","173.16","178.08","259,618,629"
09/13/2024,"216.20","232.67","213.67","230.29","361,418,441"
04/12/2024,"169.34","179.22","167.79","171.05","451,427,070"
08/23/2024,"217.07","228.22","210.32","220.32","381,622,056"
06/07/2024,"178.13","182.64","172.13","177.48","312,710,977"
01/26/2024,"212.26","217.80","180.06","183.25","653,348,304"
10/11/2024,"249.00","249.83","214.38","217.80","416,421,910"
03/28/2024,"168.76","184.25","168.73","175.79","346,873,711"
11/29/2024,"360.14","361.93","326.59","345.16","253,250,819"
02/09/2024,"184.26","194.12","175.01","193.57","536,016,000"
07/26/2024,"244.21","255.76","214.71","219.80","576,337,132"
06/28/2024,"184.97","203.20","182.01","197.88","389,592,006"
08/09/2024,"185.22","203.88","182.00","200.00","368,934,652"
11/01/2024,"270.00","273.54","246.63","248.98","366,288,981"
02/23/2024,"196.13","199.44","189.13","191.97","379,971,172"
10/18/2024,"220.13","224.26","213.74","220.70","299,317,187"
09/06/2024,"215.26","235.00","209.64","210.73","388,735,566"
07/05/2024,"201.02","252.37","200.85","251.52","661,802,000"
01/12/2024,"236.14","241.25","217.15","218.89","502,418,133"
08/02/2024,"224.90","234.68","205.78","207.67","464,001,133"
12/20/2024,"441.09","488.99","417.64","421.06","645,429,891"
03/15/2024,"175.45","182.87","160.51","163.57","502,780,226"
09/20/2024,"229.30","244.24","223.53","238.25","401,668,516"
04/05/2024,"176.17","177.19","160.51","164.90","547,482,462"
12/27/2024,"431.00","465.33","415.41","431.66","291,567,839"
03/22/2024,"170.02","178.18","165.90","170.83","418,091,204"
05/10/2024,"183.80","187.56","167.75","168.47","377,983,063"
10/04/2024,"259.04","264.86","237.81","250.08","429,710,445"
01/05/2024,"250.08","251.25","234.90","237.49","420,855,047"
11/15/2024,"346.30","358.64","309.22","320.72","726,819,595"
09/27/2024,"242.61","261.75","241.92","260.46","378,582,780"
02/02/2024,"185.63","196.36","182.00","187.91","540,672,789"
05/24/2024,"177.56","186.88","173.26","179.24","402,867,388"
06/14/2024,"176.06","488.55","167.41","178.01","407,043,344"
04/26/2024,"140.56","172.12","138.80","168.29","649,063,907"
11/22/2024,"340.73","361.53","330.01","352.56","428,893,039"
04/19/2024,"170.24","170.69","146.22","147.05","462,858,297"
01/19/2024,"215.10","223.49","207.56","212.19","429,375,101"
07/19/2024,"255.97","265.60","236.83","239.20","587,103,086"
12/13/2024,"397.61","436.30","378.01","436.23","474,962,750"
06/21/2024,"177.92","188.81","177.00","183.01","297,690,988"
03/01/2024,"192.29","205.60","192.00","202.64","488,348,758"
11/08/2024,"244.56","328.71","238.88","321.22","625,405,571"
08/16/2024,"199.02","219.80","194.67","216.12","389,155,945"
10/25/2024,"218.90","269.49","212.11","269.19","537,640,433"
05/17/2024,"170.00","180.00","169.00","177.46","370,347,383"
12/29/2023,"258.35","265.13","247.43","248.48","321,005,906"
02/16/2024,"192.11","493.17","182.11","199.95","495,639,571"
08/30/2024,"218.75","219.09","202.59","214.11","311,918,363"
